epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,694.428,0.67326,0.6815,1.10615,0.88048,0.78142,0.84526,0.67379,0.89158,0.60427,1.31999,0.000396265,0.000396265,0.000396265
43,710.066,0.69557,0.66863,1.11724,0.83044,0.84405,0.8618,0.68195,0.9464,0.79653,1.37525,0.000389661,0.000389661,0.000389661
44,726.625,0.66961,0.64066,1.10517,0.73687,0.83153,0.86515,0.69031,0.9452,0.59552,1.30885,0.000383058,0.000383058,0.000383058
45,742.937,0.66124,0.63725,1.08679,0.89079,0.77403,0.84833,0.69295,0.91922,0.61842,1.31566,0.000376455,0.000376455,0.000376455
46,759.28,0.67301,0.61566,1.10572,0.90628,0.81633,0.90299,0.72094,0.9091,0.65628,1.33683,0.000369851,0.000369851,0.000369851
47,774.922,0.66209,0.6215,1.08692,0.93246,0.80846,0.91097,0.75091,0.8917,0.68083,1.28791,0.000363248,0.000363248,0.000363248
48,791.296,0.68104,0.62698,1.10237,0.86334,0.8871,0.93126,0.75216,0.94451,0.5703,1.33533,0.000356645,0.000356645,0.000356645
49,807.102,0.66303,0.62678,1.09085,0.92216,0.78252,0.85153,0.68348,0.93999,0.59792,1.31514,0.000350042,0.000350042,0.000350042
50,824.374,0.66221,0.61126,1.09234,0.75405,0.81258,0.84214,0.67459,0.90829,0.59057,1.29866,0.000343438,0.000343438,0.000343438
51,840.981,0.68622,0.62513,1.10593,0.84628,0.83679,0.90205,0.70728,0.95246,0.58334,1.337,0.000336835,0.000336835,0.000336835
52,856.996,0.65457,0.58973,1.08406,0.74922,0.93454,0.8665,0.70616,0.8849,0.54476,1.30031,0.000330232,0.000330232,0.000330232
53,873.02,0.64451,0.56462,1.07417,0.76818,0.82549,0.85323,0.67679,0.89156,0.53521,1.29856,0.000323628,0.000323628,0.000323628
54,889.258,0.64224,0.57866,1.08435,0.79194,0.89673,0.90128,0.73316,0.92798,0.52486,1.32015,0.000317025,0.000317025,0.000317025
55,905.328,0.6391,0.57365,1.07434,0.90792,0.84038,0.92003,0.73023,0.90794,0.57906,1.29324,0.000310422,0.000310422,0.000310422
56,921.484,0.60543,0.53623,1.05028,0.82756,0.87906,0.89588,0.72662,0.87973,0.53942,1.31178,0.000303818,0.000303818,0.000303818
57,937.822,0.62812,0.53975,1.08054,0.86611,0.83366,0.8991,0.75269,0.8582,0.50369,1.28126,0.000297215,0.000297215,0.000297215
58,953.85,0.63975,0.56963,1.0811,0.83384,0.83467,0.88596,0.71323,0.8923,0.55198,1.29427,0.000290612,0.000290612,0.000290612
59,970.791,0.60517,0.54091,1.05769,0.90051,0.92402,0.93232,0.74634,0.88261,0.54858,1.2897,0.000284009,0.000284009,0.000284009
60,987.341,0.61705,0.53936,1.05964,0.86605,0.80202,0.8826,0.71075,0.88092,0.49886,1.3075,0.000277405,0.000277405,0.000277405
61,1004.34,0.62102,0.5385,1.06716,0.85457,0.83357,0.88749,0.71711,0.90593,0.56021,1.3414,0.000270802,0.000270802,0.000270802
62,1021.01,0.58685,0.52366,1.04947,0.81511,0.86698,0.89428,0.73928,0.85917,0.5318,1.30072,0.000264199,0.000264199,0.000264199
63,1037.55,0.62747,0.52949,1.05918,0.91577,0.86301,0.9049,0.73547,0.89727,0.50105,1.30588,0.000257595,0.000257595,0.000257595
64,1053.27,0.59342,0.49726,1.04452,0.86109,0.88011,0.89445,0.73523,0.83451,0.49465,1.25347,0.000250992,0.000250992,0.000250992
65,1069.65,0.58679,0.50844,1.04463,0.90198,0.84123,0.89997,0.74041,0.87748,0.45621,1.29944,0.000244389,0.000244389,0.000244389
66,1086.41,0.5907,0.49515,1.04734,0.85869,0.87201,0.89319,0.72414,0.90231,0.48846,1.32396,0.000237785,0.000237785,0.000237785
67,1103.11,0.57578,0.47962,1.04439,0.89003,0.89883,0.90158,0.72643,0.90915,0.5045,1.30765,0.000231182,0.000231182,0.000231182
68,1120.66,0.59052,0.50542,1.05489,0.89853,0.89388,0.91806,0.76545,0.85026,0.45479,1.26176,0.000224579,0.000224579,0.000224579
69,1137.67,0.5713,0.49598,1.04471,0.83325,0.89777,0.89303,0.72979,0.88839,0.50281,1.26199,0.000217976,0.000217976,0.000217976
70,1154.05,0.56783,0.49262,1.04585,0.82413,0.85238,0.886,0.72529,0.90078,0.52674,1.29552,0.000211372,0.000211372,0.000211372
71,1170.41,0.55583,0.45636,1.0309,0.87642,0.88055,0.9154,0.74702,0.89792,0.44137,1.30692,0.000204769,0.000204769,0.000204769
72,1186.97,0.55659,0.47881,1.02063,0.88537,0.87521,0.91454,0.74623,0.87031,0.44865,1.29912,0.000198166,0.000198166,0.000198166
73,1203.3,0.54504,0.45176,1.03478,0.9074,0.83201,0.87579,0.70244,0.89283,0.46778,1.30672,0.000191562,0.000191562,0.000191562
74,1220.22,0.53995,0.45047,1.01664,0.9045,0.86905,0.90955,0.73907,0.86858,0.45217,1.29057,0.000184959,0.000184959,0.000184959
75,1237.51,0.56344,0.46949,1.03111,0.86447,0.86125,0.87776,0.71267,0.9142,0.47954,1.32091,0.000178356,0.000178356,0.000178356
76,1254.14,0.55028,0.45766,1.02392,0.81118,0.86905,0.86637,0.69958,0.92059,0.51481,1.33578,0.000171752,0.000171752,0.000171752
77,1270.89,0.53665,0.45086,1.02078,0.81191,0.90876,0.89331,0.72273,0.88847,0.49479,1.29964,0.000165149,0.000165149,0.000165149
78,1287.98,0.52785,0.44082,1.02013,0.9004,0.88493,0.9155,0.74967,0.8457,0.44429,1.27295,0.000158546,0.000158546,0.000158546
79,1304.44,0.54045,0.45225,1.01704,0.87495,0.87352,0.91143,0.74968,0.83394,0.45024,1.26739,0.000151943,0.000151943,0.000151943
80,1320.71,0.55032,0.44114,1.02438,0.86738,0.91468,0.93525,0.75173,0.90012,0.51915,1.3526,0.000145339,0.000145339,0.000145339
81,1338.28,0.51997,0.4353,1.01496,0.90968,0.91254,0.91153,0.73527,0.8543,0.47876,1.29844,0.000138736,0.000138736,0.000138736
82,1356.35,0.52256,0.44148,1.0126,0.89423,0.86442,0.88878,0.73068,0.86982,0.48124,1.29547,0.000132133,0.000132133,0.000132133
83,1373.26,0.52804,0.41606,1.01365,0.89419,0.87514,0.908,0.74708,0.8567,0.4613,1.30172,0.000125529,0.000125529,0.000125529
84,1389.96,0.51928,0.43072,1.01616,0.88661,0.87536,0.89773,0.71527,0.91289,0.50213,1.36619,0.000118926,0.000118926,0.000118926
85,1407.17,0.50531,0.42716,1.01106,0.86774,0.85273,0.86592,0.70437,0.89251,0.488,1.379,0.000112323,0.000112323,0.000112323
86,1424.45,0.51281,0.42787,0.99743,0.9139,0.87929,0.89368,0.71584,0.88044,0.47464,1.3665,0.00010572,0.00010572,0.00010572
87,1442.33,0.50883,0.40799,1.00934,0.88019,0.87904,0.89505,0.71828,0.8962,0.46735,1.36831,9.91162e-05,9.91162e-05,9.91162e-05
88,1460.83,0.51736,0.39934,1.00738,0.87907,0.85305,0.87953,0.72396,0.87409,0.46867,1.35642,9.25129e-05,9.25129e-05,9.25129e-05
89,1478.28,0.50627,0.40269,1.00394,0.89129,0.86527,0.90314,0.74364,0.86247,0.45233,1.32322,8.59096e-05,8.59096e-05,8.59096e-05
90,1495.13,0.51085,0.41875,1.01253,0.91844,0.86905,0.90314,0.7579,0.82791,0.42128,1.30163,7.93063e-05,7.93063e-05,7.93063e-05
91,1514.01,0.43612,0.32106,0.98785,0.92048,0.86931,0.90879,0.75152,0.85414,0.42458,1.31452,7.2703e-05,7.2703e-05,7.2703e-05
92,1530.7,0.42552,0.30908,0.9793,0.92364,0.86905,0.89562,0.73518,0.85015,0.48463,1.30256,6.60997e-05,6.60997e-05,6.60997e-05
93,1547.86,0.42124,0.29457,0.95754,0.92244,0.87394,0.908,0.751,0.86209,0.44542,1.33341,5.94964e-05,5.94964e-05,5.94964e-05
94,1564.24,0.40797,0.28869,0.97031,0.92259,0.86949,0.91316,0.75694,0.83964,0.43734,1.31748,5.28931e-05,5.28931e-05,5.28931e-05
95,1579.51,0.40765,0.28023,0.95566,0.92348,0.86972,0.91405,0.76328,0.83846,0.42874,1.33189,4.62898e-05,4.62898e-05,4.62898e-05
96,1595.3,0.40329,0.28299,0.95392,0.9253,0.86958,0.9094,0.75264,0.85655,0.42878,1.34092,3.96865e-05,3.96865e-05,3.96865e-05
97,1611.32,0.40203,0.27812,0.94634,0.92523,0.8697,0.91659,0.76035,0.85644,0.41823,1.35202,3.30832e-05,3.30832e-05,3.30832e-05
98,1627.27,0.3953,0.27808,0.95809,0.92577,0.86997,0.93525,0.77411,0.85857,0.43418,1.34509,2.64799e-05,2.64799e-05,2.64799e-05
99,1642.89,0.39186,0.27121,0.94637,0.9251,0.86921,0.91454,0.7604,0.86361,0.43883,1.35083,1.98766e-05,1.98766e-05,1.98766e-05
100,1658.56,0.38982,0.26932,0.93774,0.92541,0.86934,0.91454,0.76026,0.85679,0.43982,1.34368,1.32733e-05,1.32733e-05,1.32733e-05
