epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6049.59,0.90301,0.58318,0.98862,0.88772,0.86519,0.91442,0.63958,0.95346,0.55277,1.06668,0.000660045,0.000660045,0.000660045
43,6175.49,0.90343,0.5854,0.99007,0.89079,0.85437,0.91154,0.64024,0.94965,0.55094,1.06556,0.000649046,0.000649046,0.000649046
44,6303.86,0.89451,0.57595,0.98364,0.8989,0.8447,0.91214,0.64303,0.94715,0.55504,1.06822,0.000638047,0.000638047,0.000638047
45,6431.64,0.88729,0.57126,0.98073,0.89296,0.85164,0.91109,0.64699,0.94592,0.55269,1.06514,0.000627048,0.000627048,0.000627048
46,6557.7,0.88156,0.55992,0.97783,0.89264,0.85054,0.91266,0.64878,0.94297,0.55097,1.06106,0.000616049,0.000616049,0.000616049
47,6685.45,0.88318,0.5627,0.97572,0.88373,0.85362,0.91387,0.64391,0.94593,0.54905,1.06507,0.000605051,0.000605051,0.000605051
48,6813.12,0.88322,0.56237,0.97902,0.8861,0.86685,0.91434,0.64947,0.9376,0.53777,1.06134,0.000594052,0.000594052,0.000594052
49,6939.24,0.8801,0.55621,0.97863,0.87983,0.86863,0.91839,0.65347,0.93525,0.53708,1.06215,0.000583053,0.000583053,0.000583053
50,7066.87,0.87122,0.54734,0.9709,0.89923,0.85077,0.91682,0.65489,0.93668,0.53254,1.05804,0.000572054,0.000572054,0.000572054
51,7195.17,0.87554,0.54907,0.9727,0.889,0.85854,0.91754,0.65485,0.92886,0.53435,1.05528,0.000561055,0.000561055,0.000561055
52,7321.53,0.86894,0.54432,0.9719,0.87686,0.85754,0.91651,0.6488,0.93507,0.53389,1.05783,0.000550056,0.000550056,0.000550056
53,7449.57,0.86653,0.54216,0.9725,0.89192,0.85667,0.91851,0.65443,0.92818,0.52961,1.05535,0.000539057,0.000539057,0.000539057
54,7577.79,0.85646,0.5346,0.96706,0.88855,0.86432,0.91572,0.65469,0.92301,0.52823,1.05604,0.000528058,0.000528058,0.000528058
55,7704.48,0.86507,0.54138,0.96947,0.87738,0.87101,0.91851,0.6552,0.92359,0.52924,1.05412,0.000517059,0.000517059,0.000517059
56,7832.5,0.86064,0.53987,0.96868,0.89399,0.86396,0.91848,0.65743,0.92123,0.52997,1.05168,0.00050606,0.00050606,0.00050606
57,7961.34,0.85348,0.53487,0.96605,0.8888,0.86294,0.92182,0.66325,0.91727,0.5243,1.05102,0.000495062,0.000495062,0.000495062
58,8090.12,0.85602,0.52797,0.96632,0.89411,0.86589,0.91955,0.6603,0.91421,0.52641,1.04978,0.000484063,0.000484063,0.000484063
59,8217.13,0.8478,0.52767,0.96265,0.88737,0.8694,0.91841,0.66017,0.92184,0.52328,1.05188,0.000473064,0.000473064,0.000473064
60,8346.33,0.84438,0.52524,0.96411,0.89166,0.87431,0.92196,0.66118,0.91678,0.51691,1.05321,0.000462065,0.000462065,0.000462065
61,8475.35,0.84569,0.53095,0.96406,0.9043,0.85789,0.9181,0.66062,0.91169,0.52352,1.04646,0.000451066,0.000451066,0.000451066
62,8601.62,0.83444,0.51587,0.95831,0.89915,0.86653,0.91838,0.66097,0.90692,0.52106,1.04747,0.000440067,0.000440067,0.000440067
63,8729.83,0.83778,0.51883,0.95908,0.88154,0.86929,0.91695,0.65897,0.9053,0.52237,1.04488,0.000429068,0.000429068,0.000429068
64,8858.37,0.83712,0.51579,0.9574,0.89303,0.86958,0.91743,0.66145,0.91077,0.51721,1.04705,0.000418069,0.000418069,0.000418069
65,8985.42,0.82728,0.50506,0.95328,0.88322,0.87367,0.91928,0.66578,0.9076,0.51643,1.04531,0.00040707,0.00040707,0.00040707
66,9114.56,0.8306,0.50621,0.95597,0.89219,0.8657,0.92045,0.66176,0.91171,0.51314,1.04805,0.000396071,0.000396071,0.000396071
67,9243.87,0.82507,0.50481,0.95426,0.90323,0.85985,0.91811,0.66334,0.90575,0.51494,1.04372,0.000385073,0.000385073,0.000385073
68,9372.88,0.81816,0.50078,0.94902,0.88876,0.8718,0.91714,0.6618,0.91241,0.51072,1.04912,0.000374074,0.000374074,0.000374074
69,9499.49,0.81954,0.49882,0.95225,0.89525,0.86797,0.92075,0.66466,0.90735,0.51095,1.04664,0.000363075,0.000363075,0.000363075
70,9628.45,0.81466,0.49783,0.94814,0.89844,0.86877,0.92056,0.66402,0.90733,0.5099,1.04629,0.000352076,0.000352076,0.000352076
71,9757.49,0.81885,0.49666,0.95011,0.90006,0.8672,0.92409,0.66492,0.90659,0.5124,1.04167,0.000341077,0.000341077,0.000341077
72,9886.03,0.80721,0.49301,0.9481,0.89404,0.87129,0.92148,0.66554,0.90781,0.50904,1.04269,0.000330078,0.000330078,0.000330078
73,10013.6,0.80627,0.48627,0.94604,0.89157,0.86844,0.91757,0.66074,0.90825,0.50906,1.0434,0.000319079,0.000319079,0.000319079
74,10142.9,0.80447,0.4872,0.94626,0.89593,0.86543,0.92102,0.66144,0.90593,0.50835,1.0446,0.00030808,0.00030808,0.00030808
75,10272.6,0.8,0.48452,0.9444,0.89734,0.87186,0.92237,0.66564,0.90677,0.5057,1.04604,0.000297081,0.000297081,0.000297081
